,precision_simple,recall_simple,f1_score_simple,support_simple
High,0.4523809523809524,0.628099173553719,0.5259515570934256,242.0
Low,0.5036028823058447,0.4579541317801238,0.47969494756911346,2747.0
Medium,0.7705206004471414,0.7567440401505646,0.763570185155879,6376.0
Unknown,0.541838134430727,0.6644238856181666,0.5969021533811862,1189.0
accuracy,0.6656244078074663,0.6656244078074663,0.6656244078074663,0.6656244078074663
macro avg,0.5670856423911663,0.6268053077756435,0.5915297107999011,10554.0
weighted avg,0.6679892172123795,0.6656244078074663,0.6654578793550386,10554.0
