,precision_rfc,recall_rfc,f1_score_rfc,support_rfc
High,0.944,0.48760330578512395,0.6430517711171662,242.0
Low,0.7556773688332028,0.3512923188933382,0.47962226640159045,2747.0
Medium,0.7290977798771847,0.9683186951066499,0.8318512530315278,6376.0
Unknown,0.8976608187134503,0.5164003364171573,0.6556326748531767,1189.0
accuracy,0.7457835891605079,0.7457835891605079,0.7457835891605079,0.7457835891605079
macro avg,0.8316089918559595,0.5809036640505674,0.6525394913508653,10554.0
weighted avg,0.759933664026154,0.7457835891605079,0.7159912577359269,10554.0
