,precision_rfc_best,recall_rfc_best,f1_score_rfc_best,support_rfc_best
High,0.3235294117647059,0.5909090909090909,0.41812865497076024,242.0
Low,0.6234096692111959,0.44594102657444484,0.5199490662139219,2747.0
Medium,0.780921052631579,0.7446675031367629,0.7623635195889531,6376.0
Unknown,0.4112239961296565,0.7148864592094197,0.5221130221130221,1189.0
accuracy,0.6600341102899374,0.6600341102899374,0.6600341102899374,0.6600341102899374
macro avg,0.5347710324342844,0.6241010199574296,0.5556385657216644,10554.0
weighted avg,0.687786473559534,0.6600341102899374,0.6643082626098272,10554.0
