,precision_log,recall_log,f1_score_log,support_log
High,0.04771053474223503,0.6157024793388429,0.08855869242199109,242.0
Low,0.45286506469500926,0.3567528212595559,0.3991040521278762,2747.0
Medium,0.7117367168913561,0.2815244667503137,0.40346145201168804,6376.0
Unknown,0.15446265938069217,0.3566021867115223,0.215556685307575,1189.0
accuracy,0.3172256964184196,0.3172256964184196,0.3172256964184196,0.3172256964184196
macro avg,0.34169374392732316,0.4026454885150587,0.27667022046728257,10554.0
weighted avg,0.5663497906980994,0.3172256964184196,0.37393757358524043,10554.0
